,_id,ltable_Id,rtable_Id,ltable_Name,ltable_Street,ltable_Address,ltable_Phone,ltable_Cuisines,ltable_Take Out,rtable_Name,rtable_Street,rtable_Address,rtable_Phone,rtable_Cuisines,rtable_Take Out,label
284,284,706,3034,michael jordan's the steak house n.y.c.,23 vanderbilt ave ,"23 vanderbilt ave new york city, ny 10017-3804",+1 212-655-2300,American;Steakhouse;Gluten Free Options,No,michael jordan’s the steak house n.y.c,23 vanderbilt avegrand central terminal,23 vanderbilt avegrand central terminalnew york ny 10017,(212) 655-2300,Steakhouses;Cocktail Bars;Wine Bars,No,1
285,285,707,1545,little italy nyc,151 mulberry st ,"151 mulberry st new york city, ny 10013-4721",+1 212-343-7000,Italian,Yes,aunt jake’s,151 mulberry st,151 mulberry stnew york ny 10013,(347) 769-6873,Italian;Wine Bars;Pasta Shops,Yes,0
286,286,709,3122,la villetta,398 e 52nd st ,"398 e 52nd st new york city, ny 10022-6460",+1 212-829-0003,Italian;Vegetarian Friendly;Gluten Free Options,Yes,la villetta,398 e 52nd st,398 e 52nd stnew york ny 10022,(212) 829-0003,Italian,Yes,1
287,287,712,1044,jacob restaurant soul food & salad bar,2695 frederick douglass blvd ,"2695 frederick douglass blvd new york city, ny 10030-1206",+1 212-283-3663,American;Vegetarian Friendly,Yes,serengeti teas & spices,2292 frederick douglass blvd,2292 frederick douglass blvdnew york ny 10027,(212) 866-7100,Coffee & Tea;Tea Rooms,Yes,0
288,288,712,1437,jacob restaurant soul food & salad bar,2695 frederick douglass blvd ,"2695 frederick douglass blvd new york city, ny 10030-1206",+1 212-283-3663,American;Vegetarian Friendly,Yes,lido,2168 frederick douglass blvd,2168 frederick douglass blvdnew york ny 10026,(646) 490-8575,Italian;Breakfast & Brunch;Cocktail Bars,Yes,0
290,290,717,1700,mighty quinn's,225 liberty st ,"225 liberty st new york city, ny 10281-1048",,American;Fast Food;Barbecue,Yes,tartinery hudson eats,225 liberty st,225 liberty stnew york ny 10281,(646) 755-8484,French,Yes,0
291,291,717,3013,mighty quinn's,225 liberty st ,"225 liberty st new york city, ny 10281-1048",,American;Fast Food;Barbecue,Yes,l’appart,225 liberty st,225 liberty stnew york ny 10281,(212) 981-8577,French,No,0
298,298,726,1217,utsav restaurant,1185 avenue of the americas ,"1185 avenue of the americas new york city, ny 10036-2601",+1 212-575-2525,Indian;Vegetarian Friendly;Vegan Options,Yes,simon sips,1185 ave of the americas,1185 ave of the americasnew york ny 10036,(212) 354-2100,Coffee & Tea,Yes,0
303,303,734,162,goa taco,79 delancey st ,"79 delancey st new york city, ny 10002-3192",+1 347-276-5103,Mexican;Fusion;Vegetarian Friendly,Yes,goa taco,79 delancey st,79 delancey stnew york ny 10002,(347) 276-5103,Fast Food;Tacos;Indian,Yes,1
304,304,741,2689,abigael's,1407 broadway ,"1407 broadway new york city, ny 10018-5100",+1 212-575-1407,Steakhouse;Sushi;American,Yes,abigael’s on broadway,1407 broadway,1407 broadwaynew york ny 10018,(212) 575-1407,American (New);Kosher;Sushi Bars,Yes,0
306,306,746,1894,cajun sea,32 w 33rd st ,"32 w 33rd st new york city, ny 10001-3302",,American;Seafood;Bar,Yes,cajunsea & oyster bar,32 w 33rd st,32 w 33rd stnew york ny 10001,(212) 564-7333,Cajun/Creole;Seafood;Breakfast & Brunch,Yes,1
310,310,755,2382,2 bros pizza - chelsea area,601 avenue of the americas ,"601 avenue of the americas new york city, ny 10011-2025",+1 212-206-8656,Pizza;Fast Food,Yes,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,(212) 554-4848,Lounges;Venues & Event Spaces,No,0
311,311,755,2383,2 bros pizza - chelsea area,601 avenue of the americas ,"601 avenue of the americas new york city, ny 10011-2025",+1 212-206-8656,Pizza;Fast Food,Yes,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,(212) 554-4848,Lounges;Venues & Event Spaces,No,0
312,312,767,1406,kashkaval garden,852 9th ave ,"852 9th ave new york city, ny 10019-4452",+1 212-245-1758,Canadian;International;Mediterranean,Yes,kashkaval garden,852 9th ave,852 9th avenew york ny 10019,(212) 245-1758,Mediterranean;Fondue;Tapas Bars,Yes,1
313,313,768,1630,dominique bistro,14 christopher st ,"14 christopher st new york city, ny 10014-3523",+1 646-756-4145,French;European;Wine Bar,Yes,dominique bistro,14 christopher st,14 christopher stnew york ny 10014,(646) 756-4145,Wine Bars;French;Breakfast & Brunch,Yes,1
314,314,768,2964,dominique bistro,14 christopher st ,"14 christopher st new york city, ny 10014-3523",+1 646-756-4145,French;European;Wine Bar,Yes,omakase room by tatsu,14 christopher st,14 christopher stnew york ny 10014,(212) 367-2067,Sushi Bars;Japanese,No,1
316,316,771,3027,daniel,60 east 65th street ,"60 east 65th street new york city, ny 10065-7056",212 288 0033,French;Vegetarian Friendly;Vegan Options,No,daniel,60 e 65th st.,60 e 65th st.new york ny 10065,(212) 288-0033,French;American (Traditional);Cocktail Bars,No,1
317,317,772,3073,bv's burger,120 w 45th st ,"120 w 45th st new york city, ny 10036-4195",+1 212-575-5623,American;Gluten Free Options,No,bobby van’s steakhouse,120 w 45th st,120 w 45th stnew york ny 10036,(212) 575-5623,Steakhouses;Seafood;American (Traditional),Yes,1
319,319,778,2666,mykonos blue restaurant & rooftop,127 w 28th st ,"127 w 28th st new york city, ny 10001-6102",+1 646-484-4339,Mediterranean;Greek;Seafood,No,mykonos blue,127 w 28th st,127 w 28th stnew york ny 10001,(347) 979-0451,Greek,Yes,1
324,324,788,386,mandoo bar,2 w 32nd st ,"2 w 32nd st new york city, ny 10001-3809",+1 212-279-3075,Asian;Korean;Vegetarian Friendly,Yes,e-mo,2 w 32nd st,2 w 32nd stnew york ny 10001,(212) 594-1466,Korean,Yes,0
326,326,800,1173,b squared,679 9th ave ,"679 9th ave new york city, ny 10036-3618",+1 646-362-3171,Italian;Pizza;Vegetarian Friendly,Yes,b squared,679 9th ave,679 9th avenew york ny 10036,(646) 362-3171,Italian;Pizza,Yes,1
328,328,805,3096,peacock alley,301 park ave ,"301 park ave new york city, ny 10022-6844",+1 212-872-1275,American;Seafood;Vegetarian Friendly,No,peacock alley,301 park avewaldorf astoria,301 park avewaldorf astorianew york ny 10022,(212) 872-1275,Breakfast & Brunch;American (New);Lounges,Yes,1
330,330,813,121,taco mahal,73 7th ave s ,"73 7th ave s new york city, ny 10014-4043",+1 646-719-1553,Indian;Vegetarian Friendly;Vegan Options,Yes,taco mahal,73 7th ave s,73 7th ave snew york ny 10014,(646) 719-1553,Indian;Tacos,Yes,1
331,331,814,1916,nerai,55 e 54th st ,"55 e 54th st new york city, ny 10022-4206",+1 212-759-5554,Seafood;Mediterranean;Greek,Yes,nerai,55 e 54th st,55 e 54th stnew york ny 10022,(212) 759-5554,Greek;Mediterranean;Wine Bars,Yes,1
332,332,816,1939,rocco steakhouse,72 madison ave ,"72 madison ave new york city, ny 10016-8731",+1 212-696-9660,Italian;Seafood;American,No,rocco steakhouse,72 madison ave,72 madison avenew york ny 10016,(212) 696-9660,American (Traditional);Steakhouses;Seafood,Yes,1
335,335,821,3146,bobby van's central park south,40 central park s ,"40 central park s new york city, ny 10019-1633",+1 212-369-4000,American;Steakhouse;Vegetarian Friendly,No,bobby van’s cps,40 central park s,40 central park snew york ny 10019,(212) 369-4000,Steakhouses;American (New),Yes,1
341,341,851,1222,jongro bbq,22 w 32nd st ,"22 w 32nd st new york city, ny 10001-3807",+1 212-473-2233,Barbecue;Asian;Korean,Yes,jongro bbq,22 w 32nd stfl 2,22 w 32nd stfl 2new york ny 10001,(212) 473-2233,Korean;Barbeque;Beer Bar,No,1
343,343,856,2178,abc cocina,38 e 19th st ,"38 e 19th st new york city, ny 10003",+1 212-475-5829,Mexican;Latin;Spanish,No,abc cocina,38 e 19th st,38 e 19th stnew york ny 10003,(212) 677-2233,Tapas/Small Plates;Cocktail Bars;Spanish,No,1
349,349,868,2547,catch,21 9th ave ,"21 9th ave new york city, ny 10014-1203",+1 212-392-5978,Japanese;American;Seafood,No,catch,21 ninth avenue,21 ninth avenuenew york ny 10014,(212) 392-5978,Asian Fusion;Sushi Bars;Seafood,No,1
350,350,872,1064,havana social,688 10th ave ,"688 10th ave new york city, ny 10019-7104",+1 212-956-2155,Cuban;Latin;Caribbean,Yes,havana social - hell’s kitchen,688 10th ave,688 10th avenew york ny 10019,(212) 956-2155,Cuban;Cocktail Bars;Tapas Bars,Yes,1
354,354,883,517,99 cents fresh pizza,1723 broadway ,"1723 broadway new york city, ny 10019-5214",+1 212-245-2155,Italian;Pizza;Fast Food,Yes,99 cent fresh pizza,1723 broadway,1723 broadwaynew york ny 10019,(212) 245-2155,Pizza,Yes,1
359,359,908,2268,lucien restaurant,14 1st ave ,"14 1st ave new york city, ny 10009-7904",+1 212-260-6481,French;European,No,lucien,14 1st ave,14 1st avenew york ny 10009,(212) 260-6481,French;Wine Bars,No,1
364,364,919,2383,joseph's,1240 avenue of the americas ,"1240 avenue of the americas new york city, ny 10020-1505",+1 212-332-1515,American;Seafood,No,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,(212) 554-4848,Lounges;Venues & Event Spaces,No,0
366,366,924,1409,roberta's,230 park ave ,"230 park ave new york city, ny 10169-0005",,Italian,No,urbanspace vanderbilt,230 park ave,230 park avenew york ny 10169,(646) 747-0810,Food Court,Yes,0
369,369,925,936,juliana's pizza,"19 old fulton st brooklyn, ny 11201-132","19 old fulton st brooklyn, ny 11201-1322",+1 718-596-6700,Pizza,Yes,juliana’s pizza,19 old fulton stbrooklyn ,19 old fulton stbrooklyn ny 11201,(718) 596-6700,Pizza,Yes,1
370,370,928,2416,norma's,119 w 56th st ,"119 w 56th st new york city, ny 10019-4000",+1 212-708-7460,American;Vegetarian Friendly;Vegan Options,No,norma’s,119 w 56th st,119 w 56th stnew york ny 10019,(212) 708-7460,Breakfast & Brunch;American (New),No,1
379,379,950,2207,hale and hearty soups,111 fulton st ,"111 fulton st new york city, ny 10038-2711",+1 646-454-0052,Soups,No,the tuck room,11 fulton st,11 fulton stnew york ny 10038,(212) 776-8273,Tapas/Small Plates;American (New),No,0
380,380,953,1301,calle dao,38 w 39th st ,"38 w 39th st new york city, ny 10018-3800",+1 212-221-9002,Chinese;Latin;Asian,Yes,calle dao - bryant park,38 w 39th st,38 w 39th stnew york ny 10018,(212) 221-9002,Cuban;Cocktail Bars;Breakfast & Brunch,Yes,1
381,381,954,2298,mimi,185 sullivan st ,"185 sullivan st new york city, ny 10012-2508",+1 212-418-1260,French,No,mimi,185 sullivan st,185 sullivan stnew york ny 10012,(212) 418-1260,French,No,1
382,382,956,2796,tevere kosher cuisine of rome,155 e 84th st ,"155 e 84th st new york city, ny 10028-2060",+1 212-744-0210,Italian;Kosher,No,tevere,155 e 84th st,155 e 84th stnew york ny 10028,(212) 744-0210,Italian;Kosher,Yes,1
384,384,962,2083,boqueria,171 spring st ,"171 spring st new york city, ny 10012-3843",+1 212-343-4255,Mediterranean;Spanish;Vegetarian Friendly,Yes,boqueria,171 spring st,171 spring stnew york ny 10012,(212) 343-4255,Spanish,Yes,1
385,385,965,2894,uogashi,188 1st ave ,"188 1st ave new york city, ny 10009-4003",+1 212-253-0626,,No,uogashi,188 1st ave,188 1st avenew york ny 10009,(212) 253-0626,Sushi Bars;Japanese,No,1
387,387,975,23,ray's pizza,27 prince st ,"27 prince st new york city, ny 10012-3551",+1 212-966-1960,Italian;Pizza,Yes,prince street pizza,27 prince st,27 prince stnew york ny 10012,(212) 966-4100,Pizza,Yes,0
389,389,979,2903,sparks steak house,210 e 46th st ,"210 e 46th st new york city, ny 10017-2903",+1 212-687-4855,American;Steakhouse;Gluten Free Options,No,sparks steak house,210 e 46th st,210 e 46th stnew york ny 10017,(212) 687-4855,Steakhouses,No,1
391,391,982,2648,omen,113 thompson st ,"113 thompson st new york city, ny 10012-3714",+1 212-925-8923,Japanese;Asian;Sushi,No,omen azen,113 thompson st,113 thompson stnew york ny 10012,(212) 925-8923,Japanese,No,1
393,393,985,671,american cut steakhouse midtown,109 e 56th st ,"109 e 56th st new york city, ny 10022-2661",+1 212-388-5277,American;Steakhouse;Gluten Free Options,No,ninth street espresso,109 e 56th st,109 e 56th stnew york ny 10022,(646) 559-4793,Coffee & Tea,Yes,0
394,394,985,2862,american cut steakhouse midtown,109 e 56th st ,"109 e 56th st new york city, ny 10022-2661",+1 212-388-5277,American;Steakhouse;Gluten Free Options,No,american cut steakhouse midtown,109 e 56th st,109 e 56th stnew york ny 10022,(212) 388-5277,Steakhouses;American (New),Yes,1
399,399,995,2822,bouley at home,31 w 21st st ,"31 w 21st st new york city, ny 10010-7044",+1 212-255-5828,French;Japanese,No,bouley at home,31 w 21st st,31 w 21st stnew york ny 10010,(212) 255-5828,American (New),No,1
401,401,999,1510,carroll place,157 bleecker st ,"157 bleecker st new york city, ny 10012-1625",+1 212-260-1700,American;Pizza;Gastropub,Yes,carroll place,157 bleecker st,157 bleecker stnew york ny 10012,(212) 260-1700,Italian;Wine Bars;Venues & Event Spaces,Yes,1
404,404,1005,1534,le parisien,163 e 33rd st ,"163 e 33rd st new york city, ny 10016-4644",+1 212-889-5489,French;European;Gluten Free Options,No,le parisien,163 e 33rd st,163 e 33rd stnew york ny 10016,(212) 889-5489,French,No,1
405,405,1007,1600,posto thin crust pizza,310 2nd ave ,"310 2nd ave new york city, ny 10003-2724",+1 212-716-1200,Italian;Pizza,Yes,posto,310 2nd ave,310 2nd avenew york ny 10003,(212) 716-1200,Pizza,Yes,1
407,407,1008,338,vanessa's dumpling house,118 eldridge st ,"118 eldridge st new york city, ny 10002-4418",+1 212-625-8008,Chinese;Fast Food;Asian,Yes,vanessa’s dumpling house,118a eldridge st,118a eldridge stnew york ny 10002,(212) 625-8008,Chinese,Yes,1
409,409,1014,2984,al fiori,400 5th ave ,"400 5th ave new york city, ny 10018-2753",+1 212-613-8660,Italian;French;Seafood,No,ai fiori,400 5th aveste 2,400 5th aveste 2new york ny 10018,(212) 613-8660,Italian;French;Cocktail Bars,No,1
410,410,1015,2990,sushi azabu,428 greenwich st ,"428 greenwich st new york city, ny 10013-2004",+1 212-274-0428,Japanese;Sushi,Yes,sushi azabu,428 greenwich st,428 greenwich stnew york ny 10013,(212) 274-0428,Sushi Bars;Japanese,Yes,1
413,413,1023,2598,grand central oyster bar & restaurant,89 e 42nd st ,"89 e 42nd st new york city, ny 10017-5503",+1 212-490-6650,International;American;Gluten Free Options,Yes,grand central oyster bar,89 e 42nd st,89 e 42nd stnew york ny 10017,(212) 490-6650,Seafood,Yes,1
414,414,1025,2668,docks oyster bar,633 3rd ave ,"633 3rd ave new york city, ny 10017-6706",+1 212-986-8080,American;Seafood;Gluten Free Options,No,docks oyster bar and seafood grill,633 3rd ave,633 3rd avenew york ny 10017,(212) 986-8080,Seafood;Bars,Yes,1
419,419,1034,1437,savann restaurant,2280 frederick douglass blvd ,"2280 frederick douglass blvd new york city, ny 10027-5329",+1 212-222-7990,Mediterranean;Turkish;Vegetarian Friendly,Yes,lido,2168 frederick douglass blvd,2168 frederick douglass blvdnew york ny 10026,(646) 490-8575,Italian;Breakfast & Brunch;Cocktail Bars,Yes,0
422,422,1043,3016,gabriel kreuther,41 w 42nd st ,"41 w 42nd st new york city, ny 10036-8003",+1 212-257-5826,French;European;Vegetarian Friendly,No,gabriel kreuther,41 w 42nd st,41 w 42nd stnew york ny 10036,(212) 257-5826,Bars;French,No,1
423,423,1046,987,cafe katja,79 orchard st ,"79 orchard st new york city, ny 10002-4535",+1 212-219-9545,German;Austrian;European,No,cafe katja,79 orchard st,79 orchard stnew york ny 10002,(212) 219-9545,Pubs;German;Austrian,Yes,1
424,424,1048,2997,keens steakhouse,72 west 36th street ,"72 west 36th street new york city, ny 10018-8025",+1 212-947-3636,American;Steakhouse;Gluten Free Options,No,keens steakhouse,72 w 36th st,72 w 36th stnew york ny 10018,(212) 947-3636,Steakhouses;Desserts;Pubs,Yes,1
425,425,1051,210,oatmeals,120 w 3rd st ,"120 w 3rd st new york city, ny 10012-1235",+1 646-360-3570,American;Cafe;Vegetarian Friendly,Yes,oatmeals,120 w 3rd st,120 w 3rd stnew york ny 10012,(646) 360-3570,Bakeries;Coffee & Tea;Breakfast & Brunch,Yes,1
426,426,1056,1953,vitae,4 e 46th st ,"4 e 46th st new york city, ny 10017-2406",+1 212-682-3562,Wine Bar;American;Bar,Yes,vitae,4 e 46th st,4 e 46th stnew york ny 10017,(212) 682-3562,American (New);Bars,Yes,1
430,430,1069,1545,aunt jake's nyc,151 mulberry st ,"151 mulberry st new york city, ny 10013-4721",+1 646-858-0470,Italian;Vegetarian Friendly;Vegan Options,Yes,aunt jake’s,151 mulberry st,151 mulberry stnew york ny 10013,(347) 769-6873,Italian;Wine Bars;Pasta Shops,Yes,1
435,435,1074,1087,hale and hearty soups--ninth avenue,75 9th ave ,"75 9th ave new york city, ny 10011-7006",+1 212-255-8482,American;Fast Food;Soups,Yes,chelsea market,75 9th ave,75 9th avenew york ny 10011,(212) 652-2110,Public Markets,No,0
440,440,1075,1124,the bread factory,600 9th ave ,"600 9th ave new york city, ny 10036-3701",+1 212-974-8100,American;Cafe,Yes,red poke,600 9th ave,600 9th avenew york ny 10036,(212) 974-8100,Poke;Korean;Hawaiian,Yes,0
441,441,1076,1700,hudson eats,225 liberty st ,"225 liberty st new york city, ny 10281-1048",+1 646-755-8484,Japanese;American;Fast Food,Yes,tartinery hudson eats,225 liberty st,225 liberty stnew york ny 10281,(646) 755-8484,French,Yes,1
443,443,1077,2493,azalea,224 w 51st st ,"224 w 51st st new york city, ny 10019-6202",+1 212-262-0105,Italian;Vegetarian Friendly;Gluten Free Options,No,azalea ristorante,224 w 51st st,224 w 51st stnew york ny 10019,(212) 262-0105,Italian,No,1
451,451,1106,1375,pye boat noodle,1711 2nd ave ,"1711 2nd ave new york city, ny 10128-3266",+1 212-427-3077,Asian;Thai,No,pye boat noodle,1711 second ave,1711 second avenew york ny 10128,(212) 427-3077,Thai;Noodles,Yes,1
456,456,1111,2282,gotham lounge,700 5th ave ,"700 5th ave new york city, ny 10019-4145",+1 212-903-3049,,No,the peninsula new york,700 5th ave,700 5th avenew york ny 10019,(212) 956-2888,Hotels,No,0
457,457,1111,2860,gotham lounge,700 5th ave ,"700 5th ave new york city, ny 10019-4145",+1 212-903-3049,,No,the peninsula new york,700 5th ave,700 5th avenew york ny 10019,(212) 956-2888,Hotels,No,0
459,459,1112,3159,the skylark,200 w 39th st fl 30 ,"200 w 39th st fl 30 new york city, ny 10018-8242",+1 212-257-4577,American;Bar,No,the skylark,200 w 39th stfl 30,200 w 39th stfl 30new york ny 10018,(212) 257-4577,Cocktail Bars;Venues & Event Spaces,No,1
460,460,1114,2438,redeye grill,890 7th avenue at 56th street ,"890 7th avenue at 56th street new york city, ny 10019-3203",+1 212-541-9000,American;Seafood;Vegetarian Friendly,No,redeye grill,890 7th ave,890 7th avenew york ny 10106,(212) 541-9000,American (New);Seafood,Yes,1
461,461,1116,806,crocodile lounge,325 e 14th st ,"325 e 14th st new york city, ny 10003-4255",+1 212-477-7747,American;Bar;Pizza,No,crocodile lounge,325 e 14th st,325 e 14th stnew york ny 10003,(212) 477-7747,Lounges,No,1
464,464,1128,2731,megu,355 w 16th st ,"355 w 16th st new york city, ny 10011-5902",+1 212-885-9400,Japanese;Sushi;Asian,Yes,megu,355 w 16th st,355 w 16th stnew york ny 10011,(212) 885-9400,Japanese,Yes,1
465,465,1128,2821,megu,355 w 16th st ,"355 w 16th st new york city, ny 10011-5902",+1 212-885-9400,Japanese;Sushi;Asian,Yes,electric room,355 w 16th st,355 w 16th stnew york ny 10011,(212) 229-2511,Bars,No,0
467,467,1132,711,bunn,11 w 32nd st ,"11 w 32nd st new york city, ny 10001-3819",+1 212-643-1000,Asian;Korean,No,sweet churros,11 w 32nd st,11 w 32nd stnew york ny 10001,(917) 847-1878,Coffee & Tea;Desserts;Ice Cream & Frozen Yogurt,Yes,0
472,472,1154,2117,the bar downstairs,485 5th ave ,"485 5th ave new york city, ny 10017-6149",+1 212-601-1234,Bar,No,the bar downstairs,485 5th ave,485 5th avenew york ny 10018,(212) 601-1234,Lounges;Tapas/Small Plates;Cocktail Bars,No,1
473,473,1158,2544,la boite en bois,75 w 68th st ,"75 w 68th st new york city, ny 10023-5306",+1 212-874-2705,French;European;Gluten Free Options,No,la boite en bois,75 w 68th st,75 w 68th stnew york ny 10023,(212) 874-2705,French,Yes,1
474,474,1163,1828,poulette,790 9th ave ,"790 9th ave new york city, ny 10019-5613",+1 212-956-9488,French,No,kings of kobe,790 9th ave,790 9th avenew york ny 10019,(212) 247-3703,Hot Dogs;Burgers;Breakfast & Brunch,Yes,0
477,477,1170,1611,safari restaurant,219 w 116th st ,"219 w 116th st new york city, ny 10026-2851",+1 646-964-4252,African,No,safari restaurant nyc,219 w 116th st,219 w 116th stnew york ny 10026,(646) 964-4252,African,Yes,1
479,479,1173,2707,temple court,5 beekman st ,"5 beekman st new york city, ny 10038-2206",+1 212-658-1848,American;Vegetarian Friendly,No,temple court,5 beekman st,5 beekman stnew york ny 10038,(212) 658-1848,American (New);Bars;Breakfast & Brunch,No,1
485,485,1183,2804,the garden at the four seasons,57 e 57th st ,"57 e 57th st new york city, ny 10022-2081",+1 844-760-6347,American;Healthy;Gluten Free Options,No,four seasons hotel,57 e 57th st,57 e 57th stnew york ny 10022,(212) 758-5700,Hotels,No,1
486,486,1183,2805,the garden at the four seasons,57 e 57th st ,"57 e 57th st new york city, ny 10022-2081",+1 844-760-6347,American;Healthy;Gluten Free Options,No,ty bar,57 e 57th st,57 e 57th stnew york ny 10022,(212) 758-5700,Lounges,No,0
490,490,1208,444,bagels & schmear,114 e 28th st ,"114 e 28th st new york city, ny 10016-8402",+1 212-725-7873,American;Cafe;Vegetarian Friendly,Yes,bagels & schmear,116 e 28th st,116 e 28th stnew york ny 10016,(212) 725-7873,Bagels;Bakeries;Coffee & Tea,Yes,0
491,491,1209,1613,nyc falafel co,201 allen st ,"201 allen st new york city, ny 10002-1429",+1 646-918-6877,Mediterranean;Middle Eastern,Yes,yokoya,201 allen st,201 allen stnew york ny 10002,(212) 388-1388,Ramen,Yes,0
493,493,1211,428,maoz vegetarian,38 union sq e ,"38 union sq e new york city, ny 10003-3210",+1 212-260-1988,Fast Food;Middle Eastern;Israeli,Yes,maoz vegetarian,38 union sq e,38 union sq enew york ny 10003,(212) 260-1988,Middle Eastern;Vegetarian;Fast Food,Yes,1
494,494,1213,1972,lennys thirty rock,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",+1 212-247-4310,,No,bar sixtyfive,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,(212) 632-5000,Cocktail Bars;Venues & Event Spaces;American (New),No,0
495,495,1213,1973,lennys thirty rock,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",+1 212-247-4310,,No,rainbow room,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,(212) 632-5000,American (New);Venues & Event Spaces,No,0
497,497,1213,2876,lennys thirty rock,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",+1 212-247-4310,,No,rainbow room,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,(212) 632-5000,American (New);Venues & Event Spaces,No,0
501,501,1235,2504,gemma,335 bowery ,"335 bowery new york city, ny 10003-7138",+1 212-505-9100,Italian;Vegetarian Friendly;Vegan Options,No,gemma,335 bowery,335 bowerynew york ny 10003,(212) 505-7300,Italian,Yes,1
502,502,1239,2563,erminia italian restaurant,250 e 83rd st ,"250 e 83rd st new york city, ny 10028-2817",+1 212-879-4284,Italian,Yes,erminia italian restaurant,250 e 83rd st,250 e 83rd stnew york ny 10028,(212) 879-4284,Italian,Yes,1
504,504,1246,2045,uncle boon's,7 spring st ,"7 spring st new york city, ny 10012-4224",+1 646-370-6650,Asian;Thai;Vegetarian Friendly,Yes,uncle boons,7 spring st,7 spring stnew york ny 10012,(646) 370-6650,Thai,Yes,1
505,505,1247,1423,john's of bleecker street,278 bleecker st ,"278 bleecker st new york city, ny 10014-4105",+1 212-243-1680,Italian;Pizza;Vegetarian Friendly,Yes,john’s of bleecker street,278 bleecker st,278 bleecker stnew york ny 10014,(212) 243-1680,Pizza,Yes,1
509,509,1265,1044,londel's supper club,2620 frederick douglass blvd ,"2620 frederick douglass blvd new york city, ny 10030-1704",+1 212-234-6114,American,No,serengeti teas & spices,2292 frederick douglass blvd,2292 frederick douglass blvdnew york ny 10027,(212) 866-7100,Coffee & Tea;Tea Rooms,Yes,0
510,510,1265,1437,londel's supper club,2620 frederick douglass blvd ,"2620 frederick douglass blvd new york city, ny 10030-1704",+1 212-234-6114,American,No,lido,2168 frederick douglass blvd,2168 frederick douglass blvdnew york ny 10026,(646) 490-8575,Italian;Breakfast & Brunch;Cocktail Bars,Yes,0
520,520,1294,2872,rotisserie georgette,14 e 60th st ,"14 e 60th st new york city, ny 10022-1006",+1 212-390-8060,French;Gluten Free Options,Yes,avra madison,14 e 60th st,14 e 60th stnew york ny 10022,(212) 937-0100,Greek;Seafood;Mediterranean,Yes,0
521,521,1303,1457,ootoya,141 w 41st st ,"141 w 41st st new york, ny 10036 new york city, ny 10036",+1 212-704-0833,Japanese;Sushi;Asian,Yes,ootoya times square,141 w 41st st,141 w 41st stnew york ny 10036,(212) 704-0833,Japanese,No,1
522,522,1307,1299,buvette gastrotheque,42 grove st ,"42 grove st new york city, ny 10014-5310",+1 212-255-3590,French;Cafe;European,No,buvette,42 grove st,42 grove stnew york ny 10014,(212) 255-3590,French;Italian;Breakfast & Brunch,No,1
525,525,1313,2813,king cole bar,2 e 55th st ,"2 e 55th st new york city, ny 10022-3103",+1 212-339-6857,American;International;Contemporary,No,astor court,2 e 55th st,2 e 55th stnew york ny 10022,(212) 339-6857,Tea Rooms;Desserts;Breakfast & Brunch,Yes,0
529,529,1322,2177,aldo sohm wine bar,151 w 51st st ,"151 w 51st st new york city, ny 10019-6019",+1 212-554-1143,Wine Bar,No,aldo sohm wine bar,151 w 51st st,151 w 51st stnew york ny 10019,(212) 554-1143,Wine Bars;French;American (New),No,1
533,533,1333,2961,felidia,243 e 58th st ,"243 e 58th st new york city, ny 10022-1201",+1 212-758-1479,Italian;Vegetarian Friendly;Gluten Free Options,No,felidia,243 e 58th st,243 e 58th stnew york ny 10022,(212) 758-1479,Italian,No,1
540,540,1350,1949,moustache,90 bedford st ,"90 bedford st new york city, ny 10014-3764",+1 212-229-2220,Lebanese;Mediterranean;Middle Eastern,Yes,the little owl,90 bedford st,90 bedford stnew york ny 10014,(212) 741-4695,Desserts;Wine Bars;Mediterranean,Yes,0
543,543,1361,1116,tanner smith's,204 w 55th st ,"204 w 55th st new york city, ny 10019-5240",+1 646-590-2034,American;Bar;Pub,No,tanner smiths,204 w 55th st,204 w 55th stnew york ny 10019,(646) 590-2034,Cocktail Bars;American (New);Breakfast & Brunch,No,1
544,544,1370,2548,masa,10 columbus cir ,"10 columbus cir new york city, ny 10019-1158",+1 212-823-9807,Japanese;Sushi;Asian,No,ascent lounge,10 columbus cirfl 4,10 columbus cirfl 4new york ny 10019,(212) 823-9770,Cocktail Bars;Venues & Event Spaces;Lounges,No,0
551,551,1370,3110,masa,10 columbus cir ,"10 columbus cir new york city, ny 10019-1158",+1 212-823-9807,Japanese;Sushi;Asian,No,center bar,10 columbus cirfl 4,10 columbus cirfl 4new york ny 10019,(212) 823-9482,Lounges;Salad;Sandwiches,No,0
