Id,Name,Address,Phone,Cuisines,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time,Take Out
350,Ba’al Cafe & Falafel,71 Sullivan StNew York NY 10012,(646) 368-9957,Falafel;Middle Eastern,08:00 AM,06:30 PM,CLOSED,CLOSED,Yes
351,The Greeks,461 Elm StKearny NJ 07032,(201) 991-9819,Breakfast & Brunch;American (Traditional),07:00 AM,02:00 PM,CLOSED,CLOSED,Yes
352,Rudy’s Pastry Shop,905 Seneca AveRidgewood NY 11385,(718) 821-5890,Bakeries;Coffee & Tea;German,06:00 AM,08:00 PM,07:00 AM,06:00 PM,Yes
353,-321° Ice Cream Shop,288 Grand StBrooklyn NY 11211,(929) 228-9008,Desserts;Ice Cream & Frozen Yogurt;Coffee & Tea,01:00 PM,11:00 PM,01:00 PM,11:00 PM,Yes
354,Perpetuum Cafe,124 W 25th StNew York NY 10001,(646) 869-6068,Coffee & Tea,09:00 AM,05:00 PM,09:00 AM,05:00 PM,Yes
355,IC Brooklyn Cafe,251 Wilson AveBushwick NY 11237,(718) 450-3346,Coffee & Tea;Bagels;Juice Bars & Smoothies,07:00 AM,07:00 PM,07:00 AM,06:00 PM,Yes
356,Peasant Stock,120 Essex StNew York NY 10002,(212) 254-7687,Soup,11:00 AM,06:00 PM,11:00 AM,06:00 PM,Yes
357,The Uncommons,230 Thompson StNew York NY 10012,(646) 543-9215,Coffee & Tea;Tabletop Games,08:30 AM,01:00 AM,08:30 AM,11:00 PM,Yes
358,American Cheez,444 7th AveBrooklyn NY 11215,(347) 725-4665,Pizza;Dive Bars,12:00 PM,04:00 AM,12:00 PM,04:00 AM,No
359,Empanadas Cafe,123 Washington StHoboken NJ 07030,(201) 683-3069,Empanadas;Cafes,10:00 AM,03:00 AM,10:00 AM,10:00 PM,Yes
360,Dawa’s,51-18 Skillman AveWoodside NY 11377,(718) 899-8629,Himalayan/Nepalese;American (New),10:00 AM,10:30 PM,10:00 AM,10:30 PM,Yes
361,Artichoke Basille’s Pizza,321 E 14th StNew York NY 10003,(212) 228-2004,Pizza,11:00 AM,05:00 AM,11:00 AM,05:00 AM,Yes
362,Pint,34 Wayne StJersey City NJ 07302,(201) 367-1222,Gay Bars,04:30 PM,03:00 AM,03:00 PM,02:00 AM,No
363,Frijolito’s,3446 BroadwayNew York NY 10031,(646) 682-9033,Mexican,10:00 AM,11:00 PM,10:00 AM,10:00 PM,Yes
364,Homemade Taqueria,7103 Grand AveMaspeth NY 11378,(718) 779-0771,Mexican,11:00 AM,11:00 PM,11:00 AM,10:00 PM,Yes
365,Lillian Pizzeria,9601 69th AveForest Hills NY 11375,(718) 520-8749,Pizza,11:00 AM,09:00 PM,11:00 AM,09:00 PM,Yes
366,El Artesano Restaurant,4101 Bergenline AveUnion City NJ 07087,(201) 867-7341,Cuban,06:00 AM,12:30 AM,07:00 AM,12:30 AM,Yes
367,Brooklyn Bagel & Coffee Company,36-14 30th AveAstoria NY 11103,(718) 777-1121,Coffee & Tea;Bagels,06:00 AM,04:30 PM,06:00 AM,04:30 PM,Yes
368,Rosa’s Pizza,5526 69th StMaspeth NY 11378,(718) 446-5910,Pizza,10:00 AM,02:00 AM,11:00 AM,01:00 AM,Yes
369,Ninth Street Espresso,700 E 9th StNew York NY 10009,(212) 358-9225,Coffee & Tea,07:00 AM,08:00 PM,07:00 AM,08:00 PM,Yes
370,T-Swirl Crêpe,244 Main StFort Lee NJ 07024,(201) 228-1707,Creperies;Gluten-Free;Desserts,11:00 AM,10:00 PM,11:00 AM,10:00 PM,Yes
371,Bedouin Tent,405 Atlantic AveBrooklyn NY 11217,(718) 852-5555,Middle Eastern,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
372,Sammy’s Halal Food,73RD St And BroadwayJackson Heights NY 11372,(718) 775-8369,Middle Eastern;Food Stands;Halal,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,Yes
373,Southside Coffee,652 6th AveBrooklyn NY 11215,(347) 599-2884,Coffee & Tea,08:00 AM,04:00 PM,08:00 AM,04:00 PM,Yes
374,Steak Freak,50TH St And 6th AveNew York NY 10019,(646) 249-9218,Food Trucks;Steakhouses,CLOSED,CLOSED,CLOSED,CLOSED,Yes
375,Cafe Noi,1465 2nd AveNew York NY 10075,(646) 476-7137,Coffee & Tea;Breakfast & Brunch;Sandwiches,07:00 AM,06:00 PM,07:00 AM,06:00 PM,Yes
376,Black Brick,300 Bedford AveBrooklyn NY 11211,(718) 384-0075,Coffee & Tea,08:00 AM,08:00 PM,08:00 AM,08:00 PM,Yes
377,Harway Pizza Gyro Falafel,2863 Harway AveBrooklyn NY 11214,(718) 449-5500,Pizza;Falafel;Burgers,11:30 AM,11:00 PM,11:30 AM,09:30 PM,Yes
378,Joe Jr. Restaurant,167 3rd AveNew York NY 10003,(212) 473-5150,Diners;Breakfast & Brunch;American (Traditional),06:00 AM,11:00 PM,06:00 AM,11:00 PM,Yes
379,Xtra Cheese Pizzeria,14720 Northern BlvdFlushing NY 11372,(718) 961-3122,Pizza,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
380,Harlem Blues Cafe,2144 Fifth AveNew York NY 10037,(917) 675-7258,Coffee & Tea,07:00 AM,07:00 PM,07:00 AM,07:00 PM,Yes
381,Pizza By Certé,132 E 56th StNew York NY 10022,(212) 813-2020,Pizza;Italian,CLOSED,CLOSED,CLOSED,CLOSED,Yes
382,Little Miss Muffin N Her Stuffin,768 Washington AveBrooklyn NY 11238,(718) 857-4963,Bakeries;Trinidadian,08:00 AM,08:00 PM,CLOSED,CLOSED,Yes
383,Gimme! Coffee,495 Lorimer StBrooklyn NY 11211,(718) 388-7771,Coffee & Tea,07:00 AM,07:00 PM,07:00 AM,07:00 PM,Yes
384,H & H Midtown Bagels East,1551 2nd AveNew York NY 10028,(212) 734-7441,Bagels;Breakfast & Brunch;Delis,05:30 AM,09:00 PM,05:30 AM,09:00 PM,Yes
385,St Kilda Coffee,328 W 44th StNew York NY 10036,(917) 262-0945,Cafes;Coffee & Tea,08:00 AM,08:00 PM,08:00 AM,08:00 PM,Yes
386,E-Mo,2 W 32nd StNew York NY 10001,(212) 594-1466,Korean,09:00 AM,07:00 PM,CLOSED,CLOSED,Yes
387,Sunnyside Pizza,4001 Queens BlvdSunnyside NY 11104,(718) 433-4040,Pizza,11:00 AM,10:00 PM,11:00 AM,10:00 PM,Yes
388,Tuck Shop,68 E 1st StNew York NY 10003,(212) 979-5200,Australian,10:00 AM,05:00 AM,10:00 AM,10:00 PM,Yes
389,Kuppi Coffee Company,725 River RdSte 47Edgewater NJ 07020,(201) 676-0657,Coffee & Tea;Sandwiches,08:00 AM,09:00 PM,08:00 AM,09:00 PM,Yes
390,Lety’s Bakery and Café,7707 37th AveJackson Heights NY 11372,(718) 507-6539,Coffee & Tea;Bakeries,06:30 AM,10:00 PM,06:30 AM,09:00 PM,Yes
391,Little Italy Pizza,2476 BroadwayNew York NY 10025,(212) 787-6700,Pizza;Italian,10:00 AM,05:00 AM,10:00 AM,02:00 AM,Yes
392,Chez Alex,72 Ralph AveBedford-Stuyvesant NY 11221,(718) 484-4077,Bakeries;Sandwiches;Vegan,09:00 AM,07:00 PM,09:00 AM,07:00 PM,Yes
393,Yaya Tea Garden,51 Chrystie StNew York NY 10002,(212) 226-8803,Coffee & Tea;Japanese;Bubble Tea,10:00 AM,09:00 PM,10:00 AM,09:00 PM,Yes
394,Ground Central,888 8th AveNew York NY 10019,(917) 265-8557,Coffee & Tea;Bakeries,07:00 AM,08:00 PM,07:00 AM,08:00 PM,Yes
395,bwè kafe,140 River Dr SJersey City NJ 07310,(201) 963-0333,Cafes;Coffee & Tea,08:00 AM,07:00 PM,08:00 AM,07:00 PM,Yes
396,T-Swirl Crêpe,70-23 Austin StForest Hills NY 11375,(718) 261-8888,Desserts;Gluten-Free;Creperies,11:00 AM,12:00 AM,11:00 AM,11:00 PM,Yes
397,Kai Feng Fu,4801 8th AveBrooklyn NY 11220,(718) 437-3542,Chinese,08:00 AM,09:00 PM,08:00 AM,09:00 PM,Yes
398,Beijing Dumpling House,88-38 Sutphin BlvdJamaica NY 11435,(718) 297-2935,Bubble Tea;Chinese;Noodles,10:00 AM,10:00 PM,03:00 PM,10:00 PM,Yes
399,Tu-Lu’s Gluten-Free Bakery,338 E 11th StNew York NY 10003,(212) 777-2227,Bakeries;Gluten-Free,10:30 AM,09:30 PM,10:30 AM,09:00 PM,Yes
400,Bite,62 W 22nd StNew York NY 10010,(646) 649-2768,Salad;Mediterranean;Sandwiches,10:00 AM,11:00 PM,10:00 AM,10:00 PM,Yes
401,Parrot Coffee,3112 Ditmars BlvdAstoria NY 11105,(718) 545-7920,Coffee & Tea,08:00 AM,10:00 PM,09:00 AM,10:00 PM,Yes
402,Kahve,774 9th AveNew York NY 10019,(212) 256-0207,Coffee & Tea;Cafes,07:00 AM,08:00 PM,08:00 AM,08:00 PM,Yes
403,Sabor A Veracruz,6415 Bergenline AveWest New York NJ 07093,(201) 868-7855,Mexican;Italian;Breakfast & Brunch,08:00 AM,10:00 PM,09:00 AM,10:00 PM,Yes
404,Ali’s Trinidad Roti Shop,1267 Fulton StBrooklyn NY 11216,(718) 783-0316,Trinidadian,11:30 AM,10:00 PM,CLOSED,CLOSED,Yes
405,Keybar,432 E 13th StNew York NY 10009,(212) 478-3021,Lounges;Cocktail Bars;Dance Clubs,12:00 PM,04:00 AM,04:00 PM,04:00 AM,No
406,Café Zaiya,18 E 41st StNew York NY 10017,(212) 779-0740,Japanese;Desserts,10:00 AM,08:00 PM,11:00 AM,07:00 PM,Yes
407,DokoDemo,89 E 4th StNew York NY 10003,(917) 261-5228,Teppanyaki;Ramen,11:30 AM,10:30 PM,12:00 PM,09:30 PM,Yes
408,Kellogg’s NYC,31 East 17th StreetNew York NY 10003,(646) 847-0055,Breakfast & Brunch;Ice Cream & Frozen Yogurt,09:00 AM,06:00 PM,10:00 AM,04:00 PM,Yes
409,Mordi’s Schnitzel Truck,Jersey City NJ 07302,(201) 509-1163,Food Trucks;Salad;Sandwiches,CLOSED,CLOSED,CLOSED,CLOSED,Yes
410,Joe Coffee,514 Columbus AveNew York NY 10024,(212) 875-0100,Coffee & Tea,07:00 AM,08:00 PM,08:00 AM,08:00 PM,Yes
411,Madman Espresso,336 W 37th StNew York NY 10018,(212) 564-7505,Coffee & Tea,09:00 AM,04:00 PM,09:00 AM,04:00 PM,Yes
412,Taqueria Downtown,236 Grove StJersey City NJ 07302,(201) 333-3220,Mexican;Bars,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
413,B&B Restaurant Corp,165 W 26th StNew York NY 10001,(646) 429-8174,African,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,Yes
414,Patzeria Perfect Pizza,231 W 46th StNew York NY 10036,(212) 575-7646,Pizza;Diners,07:00 AM,01:00 AM,07:00 AM,12:00 AM,Yes
415,GreenStreets Salads,67 Irving AveBrooklyn NY 11237,(347) 405-7956,Sandwiches;Delis;Soup,12:00 PM,08:30 PM,12:00 PM,08:30 PM,Yes
416,Salumeria Ercolano,1072 W Side AveJersey City NJ 07306,(201) 434-4604,Italian;Delis,09:30 AM,05:00 PM,CLOSED,CLOSED,Yes
417,Finnerty’s,221 2nd AveNew York NY 10003,(212) 677-2655,Pubs;Sports Bars,12:00 PM,04:00 AM,12:00 PM,04:00 AM,No
418,Taqueria El Gallo Azteca,75 Victory BlvdStaten Island NY 10301,(718) 273-6404,Mexican,08:00 AM,10:00 PM,08:00 AM,10:00 PM,Yes
419,Spreadhouse Cafe,116 Suffolk StNew York NY 10002,(646) 524-6353,Cafes;Bars,08:30 AM,10:00 PM,08:30 AM,10:00 PM,Yes
420,Amore Pizzeria,3027 Stratton StFlushing NY 11354,(718) 445-0579,Pizza,11:00 AM,12:00 AM,12:00 PM,10:00 PM,Yes
421,New Asha Sri Lanka Restaurant,322 Victory BlvdStaten Island NY 10301,(718) 420-0649,Sri Lankan,09:00 AM,09:30 PM,09:00 AM,09:30 PM,Yes
422,G-Knows Cheesesteaks,1310 Forest AveStaten Island NY 10302,(718) 273-9016,Sandwiches;American (New),11:00 AM,11:00 PM,12:00 PM,09:00 PM,Yes
423,Schaller’s Stube Sausage Bar,1652 2nd AveNew York NY 10028,(646) 726-4355,Butcher;German;Chicken Wings,11:00 AM,11:00 PM,12:00 PM,06:00 PM,Yes
424,Crif Dogs,113 Saint Marks PlNew York NY 10009,(212) 614-2728,Hot Dogs;American (New),12:00 PM,04:00 AM,12:00 PM,02:00 AM,Yes
425,Joe Coffee,1045 Lexington AveNew York NY 10021,(212) 988-2500,Cafes;Coffee & Tea;Sandwiches,07:00 AM,08:00 PM,08:00 AM,08:00 PM,Yes
426,Sweets & Cortaditos,138 Washington AveBelleville NJ 07109,(973) 450-5111,Cuban;Bakeries;Cafes,07:00 AM,08:00 PM,08:00 AM,08:00 PM,Yes
427,Tortilleria Mexicana Los Hermanos,271 Starr StBrooklyn NY 11237,(718) 456-3422,Mexican,12:00 PM,11:30 PM,12:00 PM,11:30 PM,Yes
428,Maoz Vegetarian,38 Union Sq ENew York NY 10003,(212) 260-1988,Middle Eastern;Vegetarian;Fast Food,10:00 AM,12:00 AM,11:00 AM,10:00 PM,Yes
429,Barry’s Bagel & Deli,10 Market StClifton NJ 07012,(973) 472-2435,Delis;Sandwiches;Bagels,05:30 AM,04:30 PM,06:00 AM,03:30 PM,Yes
430,Champion Pizza,17 Cleveland PlNew York NY 10012,(212) 226-3777,Pizza,11:00 AM,05:00 AM,11:00 AM,11:00 PM,Yes
431,Prince Noodle and Cafe,4009 Prince StFlushing NY 11354,(718) 888-9295,Noodles;Asian Fusion,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
432,Los Tres Chilitos,456 Central AveJersey City NJ 07307,(201) 216-9699,Mexican,08:00 AM,11:00 PM,08:00 AM,11:00 PM,Yes
433,Spicy Village,68 Forsyth StSte BNew York NY 10002,(212) 625-8299,Chinese,10:00 AM,11:00 PM,CLOSED,CLOSED,Yes
434,Empire Coffee & Tea Company,568 9th AveNew York NY 10036,(212) 268-1220,Coffee & Tea,09:00 AM,06:30 PM,10:00 AM,05:00 PM,Yes
435,Jerusalem Pita House,25-15 30th AveAstoria NY 11102,(718) 932-8282,Middle Eastern;Mediterranean;Halal,09:00 AM,04:00 AM,09:00 AM,03:00 AM,Yes
436,Chick-fil-A,1000 Avenue Of The AmericasNew York NY 10018,(212) 704-9920,Fast Food,06:30 AM,10:00 PM,CLOSED,CLOSED,Yes
437,La Tropezienne Bakery,2131 1st AveNew York NY 10029,(212) 860-5324,Bakeries;French,06:00 AM,06:00 PM,06:00 AM,06:00 PM,Yes
438,Alfie’s Pizza,8608 117th StRichmond Hill NY 11418,(718) 849-8701,Pizza,11:00 AM,10:00 PM,12:00 PM,09:00 PM,Yes
439,White Bear,135-02 Roosevelt AveSte 5Flushing NY 11354,(718) 961-2322,Chinese,09:00 AM,08:00 PM,09:00 AM,08:00 PM,Yes
440,Stellar Brews,32-11 BroadwayAstoria NY 11106,(917) 832-6414,Coffee & Tea;Breakfast & Brunch,08:00 AM,04:00 PM,09:00 AM,04:00 PM,Yes
441,Roasting Plant,81 Orchard StOrchard Street PlantNew York NY 10002,(212) 775-7755,Coffee & Tea,08:00 AM,07:30 PM,08:00 AM,07:30 PM,Yes
442,Hutch & Waldo,247 E 81st StNew York NY 10028,(917) 409-1399,Coffee & Tea,06:00 AM,06:00 PM,06:00 AM,06:00 PM,Yes
443,Little Skips,941 Willoughby AveBrooklyn NY 11221,(718) 484-0980,Cafes;Bagels,08:00 AM,08:00 PM,08:00 AM,08:00 PM,Yes
444,Bagels & Schmear,116 E 28th StNew York NY 10016,(212) 725-7873,Bagels;Bakeries;Coffee & Tea,06:00 AM,04:00 PM,06:00 AM,04:00 PM,Yes
445,Baker’s Dozen Bagels,8109 Lefferts BlvdKew Gardens NY 11415,(718) 847-1930,Bagels;Coffee & Tea,06:00 AM,07:30 PM,06:00 AM,07:30 PM,Yes
446,Our Hero’s,785 Bergen AveJersey City NJ 07306,(201) 435-5300,Sandwiches,11:00 AM,04:30 PM,CLOSED,CLOSED,Yes
447,Taylor St Baristas,33 E 40th StNew York NY 10017,(212) 251-0719,Cafes;Coffee & Tea,CLOSED,CLOSED,CLOSED,CLOSED,Yes
448,Chapati House,3153 BroadwayNew York NY 10027,(212) 749-7200,Indian,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
449,Clementine Bakery,299 Greene AveBrooklyn NY 11238,(718) 483-8788,Bakeries;Vegan;Cupcakes,08:00 AM,07:00 PM,08:00 AM,06:00 PM,Yes
450,The Hummus & Pita,585 6th AveNew York NY 10011,(212) 510-7405,Mediterranean;Middle Eastern;Vegetarian,11:00 AM,10:00 PM,11:00 AM,09:00 PM,Yes
451,Shaikh’s Place / Donut Shoppe,1503 Ave UBrooklyn NY 11229,(718) 375-2572,Diners;Donuts,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,Yes
452,Jimmy’s Corner,140 W 44th StNew York NY 10036,(212) 221-9510,Sports Bars;Dive Bars,12:30 PM,04:00 AM,03:30 PM,04:00 AM,No
453,Kusharista - Lentils Grains & More,106 MacDougal StNew York NY 10012,(646) 448-4281,Specialty Food;Egyptian,11:00 AM,01:00 AM,11:00 AM,12:00 AM,Yes
454,Sweet Life Pastry,3887 BroadwayNew York NY 10032,(646) 518-8767,Bakeries;Mexican;Custom Cakes,08:00 AM,09:00 PM,08:00 AM,03:00 PM,Yes
455,Otto’s Tacos,141 2nd AveNew York NY 10003,(646) 678-4018,Tacos,11:00 AM,12:00 AM,11:00 AM,11:00 PM,Yes
456,Trinciti Roti Shop & Restaurant,111-05 Lefferts BlvdOzone Park NY 11420,(718) 641-3636,Indian;Vegetarian;Trinidadian,06:00 AM,11:00 PM,06:00 AM,10:00 PM,Yes
457,Eva’s Kitchen,11 W 8th StNew York NY 10011,(347) 978-0588,Specialty Food;Mediterranean;Juice Bars & Smoothies,11:00 AM,11:00 PM,11:00 AM,10:00 PM,Yes
458,Menú,34-56 33rd StLong Island City NY 11106,(718) 729-3166,Coffee & Tea;Breakfast & Brunch;Juice Bars & Smoothies,09:00 AM,03:00 PM,09:00 AM,03:00 PM,Yes
459,The Wei,30 Dekalb AveBrooklyn NY 11201,(718) 260-8888,Chinese,12:00 PM,09:00 PM,12:00 PM,09:00 PM,Yes
460,Dweebs,1434 Dekalb AveBrooklyn NY 11237,(347) 413-5272,Cafes,07:30 AM,05:00 PM,07:30 AM,05:00 PM,Yes
461,Appetizzio’s Italian Specialties & World Market,5 Ridge RdLyndhurst NJ 07071,(201) 939-1566,Caterers;Delis;Grocery,09:00 AM,04:00 PM,CLOSED,CLOSED,Yes
462,L.E.S Kitchen,15 Essex StNew York NY 10002,(646) 952-2313,Burgers;Sandwiches,12:00 PM,01:00 AM,12:00 PM,12:00 AM,Yes
463,Rizzo’s Fine Pizza,3013 Steinway StAstoria NY 11103,(718) 721-9862,Pizza,11:00 AM,11:00 PM,11:00 AM,11:00 PM,Yes
464,Leo’s Latticini Mama’s,46-02 104th StCorona NY 11368,(718) 898-6069,Delis;Italian;Sandwiches,10:00 AM,04:00 PM,CLOSED,CLOSED,Yes
465,No Ho Juice Bar & Deli,208 Mercer StNew York NY 10012,(212) 777-5070,Delis;Juice Bars & Smoothies,CLOSED,CLOSED,CLOSED,CLOSED,Yes
466,Luna Coffee Shop,121 W 29thNew York NY 10001,(646) 590-6977,Cafes;Coffee & Tea;Breakfast & Brunch,07:30 AM,06:00 PM,08:30 AM,05:00 PM,Yes
467,Bakeri,150 Wythe AveBrooklyn NY 11211,(718) 388-8037,Coffee & Tea;Bakeries;Breakfast & Brunch,08:00 AM,07:00 PM,08:00 AM,07:00 PM,Yes
468,Empire Coffee & Tea Company,338 Bloomfield StHoboken NJ 07030,(201) 216-9625,Coffee & Tea,08:00 AM,07:00 PM,09:00 AM,07:00 PM,Yes
469,Phayul,37-65 74th StFl 2Jackson Heights NY 11372,(718) 424-1869,Himalayan/Nepalese,10:30 AM,10:30 PM,10:30 AM,10:30 PM,Yes
470,Zaiqa Halal Food Cart,156 St And Northern BlvdFlushing NY 11354,(347) 421-6244,Halal;Food Trucks,10:00 AM,10:00 PM,10:00 AM,09:30 PM,Yes
471,Copacabana,31-13 36th AveAstoria NY 11106,(718) 545-3685,Brazilian;Buffets,11:00 AM,10:00 PM,11:00 AM,10:00 PM,Yes
472,Super Taste,26 Eldridge StNew York NY 10002,(646) 283-0999,Chinese;Noodles,10:00 AM,11:00 PM,10:00 AM,11:00 PM,Yes
473,Angela’s Pizzeria,3435 Fulton StBrooklyn NY 11208,(718) 647-9606,Pizza,12:00 PM,12:00 AM,12:00 PM,10:00 PM,Yes
474,Dump-N-Roll,Philadelphia PA 19104,(215) 833-8269,Food Trucks;Dim Sum,09:00 AM,09:00 PM,09:00 AM,09:00 PM,Yes
475,Red Pipe Cafe,71-60 Austin StForest Hills NY 11375,(718) 224-8359,Coffee & Tea;Breakfast & Brunch;Vegan,08:00 AM,09:30 PM,08:00 AM,09:00 PM,Yes
476,Patacon Pisao Truck,431 W 202nd StWashington Heights NY 10034,(917) 971-9828,Food Trucks;Venezuelan,08:00 AM,11:00 PM,08:00 AM,11:00 PM,Yes
477,Pete’s Candy Store,709 Lorimer StBrooklyn NY 11211,(718) 302-3770,Music Venues;Dive Bars;Pubs,03:30 PM,04:00 AM,02:30 PM,02:00 AM,No
478,The Burrito Box,885 9th AveNew York NY 10019,(212) 489-6889,Mexican,11:00 AM,11:30 PM,11:00 AM,11:00 PM,Yes
479,Blossom Ice Cream,196 Court StBrooklyn NY 11201,(929) 337-7595,Coffee & Tea;Ice Cream & Frozen Yogurt,12:00 PM,11:00 PM,12:00 PM,10:00 PM,No
480,12 Corners,121 Mott StNew York NY 10013,(212) 625-8888,Coffee & Tea,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
481,Banh Mi Place,824B Washington AveBrooklyn NY 11238,(718) 552-2660,Vietnamese;Bubble Tea;Sandwiches,11:30 AM,10:00 PM,11:30 AM,09:00 PM,Yes
482,Zaragoza Mexican Deli & Grocery,215 Ave ANew York NY 10009,(212) 780-9204,Mexican;Grocery,10:00 AM,04:00 AM,11:00 AM,12:00 AM,Yes
483,Skinny Dennis,152 Metropolitan AveBrooklyn NY 11211,(212) 555-1212,Bars;Music Venues,12:00 PM,04:00 AM,12:00 PM,04:00 AM,No
484,Boardwalk Pizza,68-20 Rockaway Beach BlvdRockaway NY 11692,(347) 619-8002,Italian;Pizza,10:30 AM,11:00 PM,11:00 AM,10:00 PM,Yes
485,Crepe Master,2029 5th AveNew York NY 10035,(646) 869-2684,Creperies;Juice Bars & Smoothies,10:00 AM,06:00 PM,10:00 AM,06:00 PM,Yes
486,Tony’s Pizzeria,7623 13th AveNew York NY 11228,(718) 621-6966,Pizza,11:00 AM,11:00 PM,11:00 AM,09:30 PM,Yes
487,Amdo Kitchen,37-57 74th StJackson Heights NY 11372,(212) 920-0881,Food Trucks;Himalayan/Nepalese,12:00 PM,09:00 PM,12:00 PM,09:00 PM,Yes
488,D & F Italian Deli,35-17 BroadwayAstoria NY 11106,(718) 728-2422,Delis;Sandwiches;Breakfast & Brunch,07:30 AM,06:00 PM,08:30 AM,02:00 PM,Yes
489,Kung Fu Tea,40 Hoyt StBrooklyn NY 11201,(347) 294-0232,Coffee & Tea;Bubble Tea;Juice Bars & Smoothies,11:45 AM,09:00 PM,11:45 AM,08:00 PM,Yes
490,Naya,One New York PlzNew York NY 10004,(212) 760-8888,Lebanese;Mediterranean,CLOSED,CLOSED,CLOSED,CLOSED,Yes
491,Georgian Deli and Bakery,2270 86th StBrooklyn NY 11214,(718) 280-9119,Delis;Bakeries,10:00 AM,08:00 PM,10:00 AM,08:00 PM,Yes
492,Lechonera La Isla,256 E 125th StNew York NY 10035,(212) 996-1972,Latin American;Puerto Rican,07:00 AM,08:00 PM,10:00 AM,06:00 PM,Yes
493,Sit & Wonder,688 Washington AveBrooklyn NY 11238,(718) 622-0299,Coffee & Tea;Sandwiches;Salad,07:30 AM,07:00 PM,07:30 AM,07:00 PM,Yes
494,Al Noor Halal Deli,710 4th AveGreenwood NY 11232,(718) 788-7080,Halal;Delis;Sandwiches,09:00 AM,09:00 PM,CLOSED,CLOSED,Yes
495,Telegraphe Cafe,107 W 18th StNew York NY 10011,(212) 488-5810,Coffee & Tea;Sandwiches;Breakfast & Brunch,09:30 AM,06:00 PM,09:30 AM,06:00 PM,Yes
496,T-Swirl Crêpe,36-16 30th AveAstoria NY 11103,(917) 832-6815,Desserts;Creperies;Gluten-Free,11:00 AM,12:00 AM,11:00 AM,11:00 PM,Yes
497,Previti Pizza,123 E 41st StNew York NY 10168,(212) 557-4992,Pizza;Beer Bar;Sandwiches,11:00 AM,05:00 PM,CLOSED,CLOSED,Yes
498,Toby’s Estate Coffee,26-25 Jackson AveLong Island City NY 11101,(347) 531-0477,Desserts;Coffee Roasteries;Breakfast & Brunch,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
499,Greek Town Gyros,65 Park AveRutherford NJ 07070,(201) 672-0045,Greek;Mediterranean,12:00 PM,08:30 PM,CLOSED,CLOSED,Yes
500,Yun Nan Flavor Garden,5121 8th AveBrooklyn NY 11220,(718) 633-3090,Chinese,11:00 AM,10:30 PM,11:00 AM,10:30 PM,Yes
501,Matcha Love By Ito En,595 River RdEdgewater NJ 07020,(201) 941-1301,Coffee & Tea;Ice Cream & Frozen Yogurt,09:30 AM,08:30 PM,09:30 AM,08:30 PM,Yes
502,Mitsuwa Marketplace,595 River RdEdgewater NJ 07020,(201) 941-9113,Grocery;Japanese;Imported Food,09:30 AM,09:00 PM,09:30 AM,09:00 PM,Yes
503,Taqueria Coatzingo,7605 Roosevelt AveJackson Heights NY 11372,(718) 424-1977,Mexican,09:00 AM,04:00 AM,09:00 AM,01:30 AM,Yes
504,Padoca Bakery,359 E 68th StNew York NY 10065,(212) 300-4543,Coffee & Tea;Breakfast & Brunch;Bakeries,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
505,The Monro Pub,481 5th AveBrooklyn NY 11215,(718) 499-2005,Pubs,12:00 PM,04:00 AM,12:00 PM,04:00 AM,No
506,Pasteles Y Algo Mas,63 Ridgefield AveRidgefield Park NJ 07660,(201) 870-6151,Puerto Rican;Latin American,10:00 AM,07:00 PM,CLOSED,CLOSED,Yes
507,The Original Soupman,259A W 55th StNew York NY 10019,(212) 956-0900,Soup;Seafood,11:00 AM,08:00 PM,11:00 AM,07:00 PM,Yes
508,Paradis To-Go,114 4th AveNew York NY 10003,(646) 416-6709,Coffee & Tea;Sandwiches,09:00 AM,06:00 PM,CLOSED,CLOSED,Yes
509,Cafe Via Espresso,2409 Steinway StAstoria NY 11103,(646) 809-6295,American (Traditional);Cafes,06:00 AM,08:00 PM,06:00 AM,06:00 PM,Yes
510,The Levee,212 Berry StBrooklyn NY 11211,(718) 218-8787,American (Traditional);Bars,12:00 PM,04:00 AM,12:00 PM,04:00 AM,No
511,La Cabana,39-17 103rd StCorona NY 11368,(718) 898-7593,Dominican,10:00 AM,11:00 PM,10:00 AM,10:00 PM,Yes
512,Anton’s Dumplings,338 Ave Of The AmericasNew York NY 10014,(212) 634-7664,Food Trucks;Russian,12:00 PM,02:00 AM,12:00 PM,07:30 PM,Yes
513,Mixtape Bushwick,1533 Myrtle AveBrooklyn NY 11237,(718) 381-5248,Coffee & Tea;Bagels,08:30 AM,05:30 PM,08:30 AM,05:30 PM,Yes
