Name,Address,Phone,Cuisines,Take Out,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time
Our Hero’s,785 Bergen AveJersey City NJ 07306,(201) 435-5300,Sandwiches,Yes,11:00 AM,4:30 PM,CLOSED,CLOSED
Taylor St Baristas,33 E 40th StNew York NY 10017,(212) 251-0719,Cafes;Coffee & Tea,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Chapati House,3153 BroadwayNew York NY 10027,(212) 749-7200,Indian,Yes,11:00 AM,11:00 PM,11:00 AM,11:00 PM
Clementine Bakery,299 Greene AveBrooklyn NY 11238,(718) 483-8788,Bakeries;Vegan;Cupcakes,Yes,8:00 AM,7:00 PM,8:00 AM,6:00 PM
The Hummus & Pita,585 6th AveNew York NY 10011,(212) 510-7405,Mediterranean;Middle Eastern;Vegetarian,Yes,11:00 AM,10:00 PM,11:00 AM,9:00 PM
Shaikh’s Place / Donut Shoppe,1503 Ave UBrooklyn NY 11229,(718) 375-2572,Diners;Donuts,Yes,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS
Jimmy’s Corner,140 W 44th StNew York NY 10036,(212) 221-9510,Sports Bars;Dive Bars,No,12:30 PM,4:00 AM,3:30 PM,4:00 AM
Kusharista - Lentils Grains & More,106 MacDougal StNew York NY 10012,(646) 448-4281,Specialty Food;Egyptian,Yes,11:00 AM,1:00 AM,11:00 AM,12:00 AM
Sweet Life Pastry,3887 BroadwayNew York NY 10032,(646) 518-8767,Bakeries;Mexican;Custom Cakes,Yes,8:00 AM,9:00 PM,8:00 AM,3:00 PM
Otto’s Tacos,141 2nd AveNew York NY 10003,(646) 678-4018,Tacos,Yes,11:00 AM,12:00 AM,11:00 AM,11:00 PM
Trinciti Roti Shop & Restaurant,111-05 Lefferts BlvdOzone Park NY 11420,(718) 641-3636,Indian;Vegetarian;Trinidadian,Yes,6:00 AM,11:00 PM,6:00 AM,10:00 PM
Eva’s Kitchen,11 W 8th StNew York NY 10011,(347) 978-0588,Specialty Food;Mediterranean;Juice Bars & Smoothies,Yes,11:00 AM,11:00 PM,11:00 AM,10:00 PM
Menú,34-56 33rd StLong Island City NY 11106,(718) 729-3166,Coffee & Tea;Breakfast & Brunch;Juice Bars & Smoothies,Yes,9:00 AM,3:00 PM,9:00 AM,3:00 PM
The Wei,30 Dekalb AveBrooklyn NY 11201,(718) 260-8888,Chinese,Yes,12:00 PM,9:00 PM,12:00 PM,9:00 PM
Dweebs,1434 Dekalb AveBrooklyn NY 11237,(347) 413-5272,Cafes,Yes,7:30 AM,5:00 PM,7:30 AM,5:00 PM
Appetizzio’s Italian Specialties & World Market,5 Ridge RdLyndhurst NJ 07071,(201) 939-1566,Caterers;Delis;Grocery,Yes,9:00 AM,4:00 PM,CLOSED,CLOSED
L.E.S Kitchen,15 Essex StNew York NY 10002,(646) 952-2313,Burgers;Sandwiches,Yes,12:00 PM,1:00 AM,12:00 PM,12:00 AM
Rizzo’s Fine Pizza,3013 Steinway StAstoria NY 11103,(718) 721-9862,Pizza,Yes,11:00 AM,11:00 PM,11:00 AM,11:00 PM
Leo’s Latticini Mama’s,46-02 104th StCorona NY 11368,(718) 898-6069,Delis;Italian;Sandwiches,Yes,10:00 AM,4:00 PM,CLOSED,CLOSED
No Ho Juice Bar & Deli,208 Mercer StNew York NY 10012,(212) 777-5070,Delis;Juice Bars & Smoothies,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Luna Coffee Shop,121 W 29thNew York NY 10001,(646) 590-6977,Cafes;Coffee & Tea;Breakfast & Brunch,Yes,7:30 AM,6:00 PM,8:30 AM,5:00 PM
Bakeri,150 Wythe AveBrooklyn NY 11211,(718) 388-8037,Coffee & Tea;Bakeries;Breakfast & Brunch,Yes,8:00 AM,7:00 PM,8:00 AM,7:00 PM
Empire Coffee & Tea Company,338 Bloomfield StHoboken NJ 07030,(201) 216-9625,Coffee & Tea,Yes,8:00 AM,7:00 PM,9:00 AM,7:00 PM
Phayul,37-65 74th StFl 2Jackson Heights NY 11372,(718) 424-1869,Himalayan/Nepalese,Yes,10:30 AM,10:30 PM,10:30 AM,10:30 PM
Zaiqa Halal Food Cart,156 St And Northern BlvdFlushing NY 11354,(347) 421-6244,Halal;Food Trucks,Yes,10:00 AM,10:00 PM,10:00 AM,9:30 PM
Copacabana,31-13 36th AveAstoria NY 11106,(718) 545-3685,Brazilian;Buffets,Yes,11:00 AM,10:00 PM,11:00 AM,10:00 PM
Super Taste,26 Eldridge StNew York NY 10002,(646) 283-0999,Chinese;Noodles,Yes,10:00 AM,11:00 PM,10:00 AM,11:00 PM
Angela’s Pizzeria,3435 Fulton StBrooklyn NY 11208,(718) 647-9606,Pizza,Yes,12:00 PM,12:00 AM,12:00 PM,10:00 PM
Dump-N-Roll,Philadelphia PA 19104,(215) 833-8269,Food Trucks;Dim Sum,Yes,9:00 AM,9:00 PM,9:00 AM,9:00 PM
Red Pipe Cafe,71-60 Austin StForest Hills NY 11375,(718) 224-8359,Coffee & Tea;Breakfast & Brunch;Vegan,Yes,8:00 AM,9:30 PM,8:00 AM,9:00 PM
Patacon Pisao Truck,431 W 202nd StWashington Heights NY 10034,(917) 971-9828,Food Trucks;Venezuelan,Yes,8:00 AM,11:00 PM,8:00 AM,11:00 PM
Pete’s Candy Store,709 Lorimer StBrooklyn NY 11211,(718) 302-3770,Music Venues;Dive Bars;Pubs,No,3:30 PM,4:00 AM,2:30 PM,2:00 AM
The Burrito Box,885 9th AveNew York NY 10019,(212) 489-6889,Mexican,Yes,11:00 AM,11:30 PM,11:00 AM,11:00 PM
Blossom Ice Cream,196 Court StBrooklyn NY 11201,(929) 337-7595,Coffee & Tea;Ice Cream & Frozen Yogurt,No,12:00 PM,11:00 PM,12:00 PM,10:00 PM
12 Corners,121 Mott StNew York NY 10013,(212) 625-8888,Coffee & Tea,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
Banh Mi Place,824B Washington AveBrooklyn NY 11238,(718) 552-2660,Vietnamese;Bubble Tea;Sandwiches,Yes,11:30 AM,10:00 PM,11:30 AM,9:00 PM
Zaragoza Mexican Deli & Grocery,215 Ave ANew York NY 10009,(212) 780-9204,Mexican;Grocery,Yes,10:00 AM,4:00 AM,11:00 AM,12:00 AM
Skinny Dennis,152 Metropolitan AveBrooklyn NY 11211,(212) 555-1212,Bars;Music Venues,No,12:00 PM,4:00 AM,12:00 PM,4:00 AM
Boardwalk Pizza,68-20 Rockaway Beach BlvdRockaway NY 11692,(347) 619-8002,Italian;Pizza,Yes,10:30 AM,11:00 PM,11:00 AM,10:00 PM
Crepe Master,2029 5th AveNew York NY 10035,(646) 869-2684,Creperies;Juice Bars & Smoothies,Yes,10:00 AM,6:00 PM,10:00 AM,6:00 PM
Tony’s Pizzeria,7623 13th AveNew York NY 11228,(718) 621-6966,Pizza,Yes,11:00 AM,11:00 PM,11:00 AM,9:30 PM
Amdo Kitchen,37-57 74th StJackson Heights NY 11372,(212) 920-0881,Food Trucks;Himalayan/Nepalese,Yes,12:00 PM,9:00 PM,12:00 PM,9:00 PM
D & F Italian Deli,35-17 BroadwayAstoria NY 11106,(718) 728-2422,Delis;Sandwiches;Breakfast & Brunch,Yes,7:30 AM,6:00 PM,8:30 AM,2:00 PM
Kung Fu Tea,40 Hoyt StBrooklyn NY 11201,(347) 294-0232,Coffee & Tea;Bubble Tea;Juice Bars & Smoothies,Yes,11:45 AM,9:00 PM,11:45 AM,8:00 PM
Naya,One New York PlzNew York NY 10004,(212) 760-8888,Lebanese;Mediterranean,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Georgian Deli and Bakery,2270 86th StBrooklyn NY 11214,(718) 280-9119,Delis;Bakeries,Yes,10:00 AM,8:00 PM,10:00 AM,8:00 PM
Lechonera La Isla,256 E 125th StNew York NY 10035,(212) 996-1972,Latin American;Puerto Rican,Yes,7:00 AM,8:00 PM,10:00 AM,6:00 PM
Sit & Wonder,688 Washington AveBrooklyn NY 11238,(718) 622-0299,Coffee & Tea;Sandwiches;Salad,Yes,7:30 AM,7:00 PM,7:30 AM,7:00 PM
Al Noor Halal Deli,710 4th AveGreenwood NY 11232,(718) 788-7080,Halal;Delis;Sandwiches,Yes,9:00 AM,9:00 PM,CLOSED,CLOSED
Telegraphe Cafe,107 W 18th StNew York NY 10011,(212) 488-5810,Coffee & Tea;Sandwiches;Breakfast & Brunch,Yes,9:30 AM,6:00 PM,9:30 AM,6:00 PM
T-Swirl Crêpe,36-16 30th AveAstoria NY 11103,(917) 832-6815,Desserts;Creperies;Gluten-Free,Yes,11:00 AM,12:00 AM,11:00 AM,11:00 PM
Previti Pizza,123 E 41st StNew York NY 10168,(212) 557-4992,Pizza;Beer Bar;Sandwiches,Yes,11:00 AM,5:00 PM,CLOSED,CLOSED
Toby’s Estate Coffee,26-25 Jackson AveLong Island City NY 11101,(347) 531-0477,Desserts;Coffee Roasteries;Breakfast & Brunch,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
Greek Town Gyros,65 Park AveRutherford NJ 07070,(201) 672-0045,Greek;Mediterranean,Yes,12:00 PM,8:30 PM,CLOSED,CLOSED
Yun Nan Flavor Garden,5121 8th AveBrooklyn NY 11220,(718) 633-3090,Chinese,Yes,11:00 AM,10:30 PM,11:00 AM,10:30 PM
Matcha Love By Ito En,595 River RdEdgewater NJ 07020,(201) 941-1301,Coffee & Tea;Ice Cream & Frozen Yogurt,Yes,9:30 AM,8:30 PM,9:30 AM,8:30 PM
Mitsuwa Marketplace,595 River RdEdgewater NJ 07020,(201) 941-9113,Grocery;Japanese;Imported Food,Yes,9:30 AM,9:00 PM,9:30 AM,9:00 PM
Taqueria Coatzingo,7605 Roosevelt AveJackson Heights NY 11372,(718) 424-1977,Mexican,Yes,9:00 AM,4:00 AM,9:00 AM,1:30 AM
Padoca Bakery,359 E 68th StNew York NY 10065,(212) 300-4543,Coffee & Tea;Breakfast & Brunch;Bakeries,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
The Monro Pub,481 5th AveBrooklyn NY 11215,(718) 499-2005,Pubs,No,12:00 PM,4:00 AM,12:00 PM,4:00 AM
Pasteles Y Algo Mas,63 Ridgefield AveRidgefield Park NJ 07660,(201) 870-6151,Puerto Rican;Latin American,Yes,10:00 AM,7:00 PM,CLOSED,CLOSED
The Original Soupman,259A W 55th StNew York NY 10019,(212) 956-0900,Soup;Seafood,Yes,11:00 AM,8:00 PM,11:00 AM,7:00 PM
Paradis To-Go,114 4th AveNew York NY 10003,(646) 416-6709,Coffee & Tea;Sandwiches,Yes,9:00 AM,6:00 PM,CLOSED,CLOSED
Cafe Via Espresso,2409 Steinway StAstoria NY 11103,(646) 809-6295,American (Traditional);Cafes,Yes,6:00 AM,8:00 PM,6:00 AM,6:00 PM
The Levee,212 Berry StBrooklyn NY 11211,(718) 218-8787,American (Traditional);Bars,No,12:00 PM,4:00 AM,12:00 PM,4:00 AM
La Cabana,39-17 103rd StCorona NY 11368,(718) 898-7593,Dominican,Yes,10:00 AM,11:00 PM,10:00 AM,10:00 PM
Anton’s Dumplings,338 Ave Of The AmericasNew York NY 10014,(212) 634-7664,Food Trucks;Russian,Yes,12:00 PM,2:00 AM,12:00 PM,7:30 PM
Mixtape Bushwick,1533 Myrtle AveBrooklyn NY 11237,(718) 381-5248,Coffee & Tea;Bagels,Yes,8:30 AM,5:30 PM,8:30 AM,5:30 PM
Lucky 13 Saloon,644 Sackett StGowanus NY 11215,(718) 596-0666,Dive Bars;Music Venues,No,2:00 PM,4:00 AM,2:00 PM,4:00 AM
Bagel Boy,8002 3rd AveBrooklyn NY 11209,(718) 748-0366,Bagels;Breakfast & Brunch,Yes,5:00 AM,5:00 PM,5:00 AM,10:00 PM
The Evergreen,109 Moffat StBrooklyn NY 11207,(718) 484-7399,Wine Bars;Beer Bar;Cocktail Bars,No,4:00 PM,4:00 AM,4:00 PM,4:00 AM
99 Cent Fresh Pizza,1723 BroadwayNew York NY 10019,(212) 245-2155,Pizza,Yes,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS
Lenox Coffee,60 W 129th StNew York NY 10027,(646) 833-7839,Coffee & Tea;Bagels;Breakfast & Brunch,Yes,8:00 AM,7:00 PM,8:00 AM,7:00 PM
Mee Cafe,26 Rutgers StNew York NY 10002,(646) 996-0029,Cafes;Bubble Tea,Yes,CLOSED,CLOSED,8:00 AM,8:00 PM
Muse Cafe & Tea,497 6th AvePark Slope NY 11215,(718) 788-5800,Cafes,Yes,8:00 AM,7:00 PM,8:00 AM,7:00 PM
Zi Zia Pizzeria,80 Bay AveBloomfield NJ 07003,(973) 743-3333,Pizza;Italian,Yes,11:00 AM,11:00 PM,12:00 PM,9:00 PM
Astoria Pizza Factory,1946 37th StAstoria NY 11105,(646) 349-2180,Pizza;Italian,Yes,11:00 AM,10:00 PM,11:30 AM,9:00 PM
Altas Horas,266 Ferry StNewark NJ 07105,(973) 465-5200,Brazilian,Yes,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS
Little Bean Coffee,111 Central Park NNew York NY 10026,(646) 896-1168,Coffee & Tea,Yes,7:00 AM,6:00 PM,7:00 AM,6:00 PM
Mama Best Food,1420 Bergen BlvdFort Lee NJ 07024,(201) 944-1392,Korean;Seafood;Vegetarian,Yes,8:00 AM,8:00 PM,CLOSED,CLOSED
Big Stash’s Sub House,131 Kearny AveKearny NJ 07032,(201) 991-9857,Sandwiches,Yes,10:30 AM,7:00 PM,10:30 AM,7:00 PM
Burger Heights,177 Wadsworth AveNew York NY 10033,(212) 951-1984,Burgers,Yes,11:30 AM,10:00 PM,11:30 AM,10:00 PM
David’s Bagels,273 1st AveNew York NY 10003,(212) 780-2308,Bagels;Delis;Sandwiches,Yes,6:00 AM,9:00 PM,6:00 AM,9:00 PM
San Marzano Pasta Fresca,117 Second AveNew York NY 10003,(212) 777-3600,Italian;Pasta Shops,Yes,11:00 AM,12:00 AM,11:00 AM,11:00 PM
Ten Ren Tea & Ginseng,13518 Roosevelt AveFlushing NY 11354,(718) 461-9305,Coffee & Tea,Yes,10:00 AM,8:00 PM,10:00 AM,8:00 PM
J & V Pizzeria,6322 18th AveBrooklyn NY 11204,(718) 232-2700,Pizza,Yes,10:00 AM,1:30 AM,10:00 AM,1:00 AM
Sicily’s Best Pizzeria,190 Cypress AveBrooklyn NY 11237,(718) 456-1833,Pizza;Italian,Yes,11:00 AM,11:00 PM,CLOSED,CLOSED
Superiority Burger,430 E 9th StNew York NY 10009,(212) 256-1192,Burgers;Vegan,Yes,11:30 AM,10:00 PM,11:30 AM,10:00 PM
China North Dumpling,27 Essex StSte ANew York NY 10002,(212) 529-2700,Chinese,Yes,9:00 AM,11:00 PM,9:00 AM,11:00 PM
Manitoba’s,99 Ave BNew York NY 10009,(212) 982-2511,Bars,No,3:00 PM,4:00 AM,3:00 PM,4:00 AM
Gino’s Pizzeria,380 Central AveJersey City NJ 07307,(201) 659-6464,Pizza;Italian,Yes,11:00 AM,12:00 AM,11:00 AM,11:00 PM
Piccolo Cafe,157 3rd AveNew York NY 10003,(212) 260-1175,Italian;Coffee & Tea;Sandwiches,Yes,8:00 AM,6:00 PM,9:00 AM,9:30 PM
Georgie’s Yogurt and Waffle Caffé,123 Plaza CtrSecaucus NJ 07094,(201) 330-1919,Waffles;Juice Bars & Smoothies;Creperies,Yes,9:00 AM,10:00 PM,9:00 AM,8:00 PM
Vinnie’s Pizzeria,253 Nassau AveBrooklyn NY 11222,(718) 389-2600,Pizza;Salad;Sandwiches,Yes,11:00 AM,12:00 AM,11:00 AM,12:00 AM
Sanpanino,494 Hudson StNew York NY 10014,(212) 645-7228,Sandwiches;Coffee & Tea,Yes,8:00 AM,6:00 PM,8:00 AM,5:00 PM
Variety,368 Graham AveBrooklyn NY 11211,(347) 599-2351,Coffee & Tea,Yes,7:00 AM,9:00 PM,7:00 AM,9:00 PM
Ashbox,1154 Manhattan AveBrooklyn NY 11222,(718) 389-3222,Japanese;Cafes,Yes,9:00 AM,4:00 PM,CLOSED,CLOSED
While In Kathmandu,758 Seneca AveRidgewood NY 11385,(718) 386-3416,Cafes;Bars;Himalayan/Nepalese,Yes,8:00 AM,11:00 PM,8:00 AM,11:00 PM
Taqueria Diana,129 2nd AveNew York NY 10003,(646) 422-7871,Mexican,Yes,12:00 PM,4:00 AM,12:00 PM,12:00 AM
Tasty Hand-Pulled Noodles,1 Doyers StNew York NY 10013,(212) 791-1817,Chinese;Noodles,Yes,10:30 AM,10:30 PM,10:30 AM,10:30 PM
Pop’s Diner,44-29 Kissena BlvdFlushing NY 11355,(718) 463-7719,Diners;Breakfast & Brunch;American (Traditional),Yes,7:00 AM,8:30 PM,7:00 AM,8:30 PM
Trans Am Cafe,915 Wyckoff AveRidgewood NY 11385,(718) 386-3718,Coffee & Tea;Vegan;Cafes,Yes,8:00 AM,7:00 PM,8:00 AM,7:00 PM
John’s Famous Deli,15 Innis StStaten Island NY 10302,(718) 815-9100,Delis;Breakfast & Brunch;Sandwiches,Yes,6:00 AM,6:00 PM,CLOSED,CLOSED
Benateri’s Italian Gourmet Deli,129-21 14th AveCollege Point NY 11356,(718) 445-9240,Delis;Sandwiches;Italian,Yes,8:00 AM,4:00 PM,CLOSED,CLOSED
Gyro96,141 E 96th StNew York NY 10128,(212) 470-1089,Falafel;Halal;Sandwiches,Yes,11:00 AM,9:00 PM,CLOSED,CLOSED
Burp Bowl Cafe,134 E 27th StNew York NY 10010,(929) 261-6643,Chinese;Noodles;Soup,Yes,11:00 AM,10:30 PM,11:00 AM,10:30 PM
Gueros,605 Prospect PlBrooklyn NY 11238,(718) 230-4941,Tex-Mex;Mexican,Yes,11:00 AM,11:00 PM,11:00 AM,10:00 PM
Daly Pie,665 Vanderbilt AveBrooklyn NY 11238,(347) 425-9251,Bakeries;American (Traditional);Sandwiches,Yes,10:00 AM,10:00 PM,10:00 AM,10:00 PM
Agamies Deli,62 Market StClifton NJ 07012,(973) 779-3643,Delis;Sandwiches;Breakfast & Brunch,Yes,7:00 AM,3:30 PM,CLOSED,CLOSED
Burritos y Mas NY Tex-Mex,1571 Lexington AveNew York NY 10029,(646) 918-7478,Tex-Mex;Mexican,Yes,11:00 AM,10:00 PM,11:00 AM,10:00 PM
El Rey Del Taco Truck #2,31ST St And Ditmars AveAstoria NY 11105,(917) 484-0689,Mexican;Food Trucks,Yes,6:15 AM,4:00 AM,6:15 AM,2:00 AM
Xi’an Famous Foods,68 Kenmare StNew York NY 10012,(212) 786-2068,Chinese;Noodles;Burgers,Yes,11:30 AM,9:00 PM,11:30 AM,8:30 PM
Knickerbocker Bagel,367 Knickerbocker AveBrooklyn NY 11237,(718) 709-8888,Wraps;Breakfast & Brunch;Bagels,Yes,6:00 AM,6:00 PM,6:00 AM,5:00 PM
About Coffee,71 Sullivan StNew York NY 10012,(212) 219-1408,Coffee & Tea,Yes,7:00 AM,7:00 PM,8:00 AM,3:00 PM
Khao Kang,7620 Woodside AveElmhurst NY 11373,(718) 662-8721,Thai,Yes,11:00 AM,9:00 PM,11:00 AM,9:00 PM
Liquiteria,170 2nd AveNew York NY 10003,(212) 358-0300,Juice Bars & Smoothies;Vegetarian,Yes,8:00 AM,8:00 PM,8:00 AM,8:00 PM
Krispy Kreme,2 Penn PlzNew York NY 10121,(212) 695-0428,Donuts;Coffee & Tea,Yes,6:00 AM,11:00 PM,6:00 AM,10:00 PM
One Star,147 W 24th StNew York NY 10011,(212) 777-0100,Bars,No,4:00 PM,4:00 AM,CLOSED,CLOSED
Dun-Well Doughnuts,102 Saint Marks PlNew York NY 10009,(646) 998-5492,Donuts;Coffee & Tea,Yes,9:00 AM,11:00 PM,9:00 AM,10:00 PM
Pa Pa Thai Cuisine,1069 1st AveNew York NY 10022,(212) 752-9277,Thai;Chinese;Salad,Yes,12:00 PM,11:00 PM,12:00 PM,10:30 PM
Krispy Pizza - Brooklyn,7112 13th AveBrooklyn NY 11228,(718) 745-9618,Pizza,Yes,11:00 AM,12:00 AM,12:00 PM,11:00 PM
Giovanni’s Salumeria,666 BroadwayBayonne NJ 07002,(201) 471-2405,Italian;Delis;Sandwiches,Yes,9:00 AM,5:00 PM,10:00 AM,3:00 PM
Banhmigos,178 Lincoln PlBrooklyn NY 11217,(718) 399-3812,Bubble Tea;Vietnamese;Sandwiches,Yes,11:30 AM,8:45 PM,11:30 AM,8:45 PM
Stanton Pizza,127 Stanton StNew York NY 10002,(212) 533-4252,Pizza;Italian,Yes,11:00 AM,5:00 AM,11:00 AM,11:00 PM
The Picnic Basket,805 3rd AveNew York NY 10022,(212) 371-6300,Cafes;Sandwiches;Gluten-Free,Yes,CLOSED,CLOSED,CLOSED,CLOSED
La Cocina,61 New StNewark NJ 07102,(973) 856-6777,Latin American,Yes,CLOSED,CLOSED,CLOSED,CLOSED
Infinitea NY,2309 Astoria BlvdAstoria NY 11102,(718) 777-0698,Coffee & Tea;Bubble Tea;Cafes,Yes,9:00 AM,8:00 PM,9:00 AM,8:00 PM
Chilo’s,323 Franklin AveBedford-Stuyvesant NY 11238,(718) 676-5245,Bars;Mexican;Food Trucks,Yes,12:00 PM,4:00 AM,12:00 PM,2:00 AM
Brooklyn Crêpe & Juice Bar,274 Flatbush AveBrooklyn NY 11217,(718) 638-1023,Creperies;Juice Bars & Smoothies,Yes,9:00 AM,9:00 PM,9:00 AM,9:00 PM
Tisserie 55,870 7th AveNew York NY 10019,(212) 463-0850,Cafes;Bakeries;Coffee & Tea,Yes,7:00 AM,8:00 PM,7:00 AM,8:00 PM
Park Central Hotel New York,870 7th AveNew York NY 10019,(212) 247-8000,Hotels,No,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS
Paul’s Da Burger Joint,131 2nd AveNew York NY 10003,(212) 529-3033,Burgers,Yes,11:00 AM,11:30 PM,11:00 AM,11:30 PM
Taj Village,79-28 Metropolitan AveMiddle Village NY 11379,(718) 326-0099,Hookah Bars;Bubble Tea;Lounges,Yes,6:00 PM,3:00 AM,6:00 PM,2:00 AM
King of Falafel & Shawarma - Truck,31ST DitmarsAstoria NY 11105,(917) 912-7870,Food Trucks;Middle Eastern,Yes,11:30 AM,11:30 PM,CLOSED,CLOSED
Patisserie Claude,187 W 4th StNew York NY 10014,(212) 255-5911,Bakeries;Desserts;Cafes,Yes,8:00 AM,8:00 PM,8:00 AM,7:00 PM
White Maize,277 Smith StBrooklyn NY 11231,(347) 946-2493,Venezuelan;Gluten-Free;Empanadas,Yes,12:00 PM,10:00 PM,12:00 PM,9:00 PM
Fresk’o Yogurt & Cafe,31-19 30th AveAstoria NY 11102,(718) 278-8250,Ice Cream & Frozen Yogurt;Coffee & Tea;Juice Bars & Smoothies,Yes,6:30 AM,11:00 PM,6:30 AM,11:00 PM
19 Cafe,84 Manhattan AveNew York NY 11206,(718) 387-8777,Coffee & Tea;Asian Fusion;Breakfast & Brunch,Yes,8:30 AM,8:00 PM,8:30 AM,8:00 PM
Prime Time,1047 Broad StBloomfield NJ 07003,(973) 338-0134,Pizza;Italian;Salad,Yes,11:00 AM,10:00 PM,12:00 PM,10:00 PM
Tawa Food,3738 72nd StJackson Heights NY 11372,(718) 457-7766,Himalayan/Nepalese,Yes,9:00 AM,10:30 PM,9:00 AM,10:30 PM
Screamer’s Pizzeria,620 Manhattan AveBrooklyn NY 11222,(347) 844-9412,Pizza;Vegan,Yes,12:00 PM,12:00 AM,12:00 PM,12:00 AM
Downtown Bakery,69 1st AveNew York NY 10003,(212) 254-1757,Mexican,Yes,6:00 AM,10:00 PM,7:00 AM,10:00 PM
Project Cozy,398 Broome StNew York NY 10013,(646) 682-7613,Cafes;Juice Bars & Smoothies;Coffee & Tea,No,9:00 AM,8:00 PM,9:00 AM,8:00 PM
Donna Bell’s Bake Shop,301 W 49th StNew York NY 10019,(212) 582-8463,Coffee & Tea;Bakeries,Yes,8:00 AM,8:00 PM,8:00 AM,8:00 PM
McWhorter Barbecue,104 McWhorter StNewark NJ 07105,(973) 344-2633,Barbeque,Yes,10:00 AM,10:00 PM,10:00 AM,10:00 PM
Birch Coffee,56 7th AveNew York NY 10011,(212) 686-1444,Cafes,Yes,8:00 AM,8:00 PM,8:00 AM,8:00 PM
Cafe Grumpy,13 Essex StNew York NY 10002,(212) 777-7515,Coffee & Tea;Cafes;Bakeries,Yes,7:30 AM,7:00 PM,7:30 AM,7:00 PM
NY Jumbo Bagels,1070 2nd AveNew York NY 10022,(212) 355-6185,Bagels;Sandwiches;Coffee & Tea,Yes,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS
Kimchi Grill,766 Washington AveBrooklyn NY 11238,(718) 360-1839,Korean;Barbeque;Tacos,Yes,11:30 AM,10:30 PM,11:30 AM,10:00 PM
New York Pão de Queijo,31-90 30th StAstoria NY 11106,(718) 204-1979,Brazilian;Burgers;Salad,Yes,9:00 AM,12:00 AM,9:00 AM,12:00 AM
Butcher Block,43-46 41st StSunnyside NY 11104,(718) 784-1078,Meat Shops;Irish;Sandwiches,Yes,8:00 AM,9:00 PM,8:00 AM,9:00 PM
Xin Fa Bakery,5617 8th AveBrooklyn NY 11220,(718) 871-2889,Bakeries;Chinese,Yes,7:00 AM,7:30 PM,7:00 AM,7:30 PM
Kings County Brewers Collective,381 Troutman StBrooklyn NY 11237,(718) 288-2891,Breweries;Beer Bar,Yes,12:00 PM,12:00 AM,12:00 PM,9:00 PM
Noodle Village,13 Mott StNew York NY 10013,(212) 233-0788,Chinese;Noodles,Yes,9:30 AM,11:00 PM,9:30 AM,11:00 PM
The Kati Roll Company,49 W 39th StNew York NY 10018,(212) 730-4280,Indian;Halal,Yes,12:00 PM,5:00 AM,12:00 PM,9:00 PM
Tacos Cholula,25 Ave ANew York NY 10009,(347) 772-5216,Mexican;Street Vendors,Yes,10:00 AM,4:00 AM,10:00 AM,4:00 AM
Healthy Fresh,1033 Morris Park AveBronx NY 10461,(718) 684-6411,Breakfast & Brunch;Sandwiches,Yes,6:00 AM,9:00 PM,8:00 AM,5:00 PM
Peking BBQ,58-11 Woodside AveWoodside NY 11377,(718) 672-1414,Chinese;Peruvian;Barbeque,Yes,11:30 AM,9:00 PM,11:30 AM,9:00 PM
DORADO Tacos & Quesadillas,28 E 12th StNew York NY 10003,(212) 627-0900,Mexican;Gluten-Free,Yes,11:00 AM,10:00 PM,12:00 PM,9:00 PM
Dos Amigos Restaurant,5300 Bergenline AveWest New York NJ 07093,(201) 348-2255,Cuban;Latin American;Sandwiches,Yes,9:00 AM,8:00 PM,10:00 AM,6:00 PM
Blue Maiz,606 8th AveNew York NY 10018,(212) 704-2106,Mexican,Yes,11:00 AM,10:00 PM,11:00 AM,9:00 PM
George’s Diner & Cafe,2369 Westchester AveBronx NY 10462,(718) 828-1170,Diners,Yes,5:00 AM,11:00 PM,5:00 AM,11:00 PM
Black Cat LES,172 Rivington StNew York NY 10002,(646) 918-7711,Coffee & Tea;Breakfast & Brunch;Sandwiches,Yes,8:00 AM,11:00 PM,8:00 AM,10:00 PM
John & Joe’s Pizzeria,749 Lydig AveBronx NY 10462,(718) 409-9776,Pizza,Yes,11:00 AM,1:00 AM,11:00 AM,12:00 AM
Café Martin,355 5th AveBrooklyn NY 11215,(347) 261-6836,Coffee & Tea,Yes,7:00 AM,6:00 PM,7:00 AM,6:00 PM
Glendale Bagels & Quality Deli,6935 Myrtle AveGlendale NY 11385,(718) 381-1363,Bagels;Breakfast & Brunch,Yes,5:00 AM,4:00 PM,5:00 AM,4:00 PM
